Year,Growth rate World
1971,4.342756029
1972,5.726048819
1973,6.505465892
1974,1.996563711
1975,0.602978792
1976,5.272405894
1977,3.934633549
1978,3.889419493
1979,4.124186684
1980,1.904212329
1981,1.922999999
1982,0.431397134
1983,2.412087067
1984,4.505591862
1985,3.713639159
1986,3.396161534
1987,3.702159676
1988,4.617448943
1989,3.678423262
1990,2.918374929
1991,1.478487694
1992,1.763208736
1993,1.517203993
1994,2.988272361
1995,3.04002322
1996,3.378780883
1997,3.682507945
1998,2.553423129
1999,3.243336511
2000,4.383544161
2001,1.949444147
2002,2.176385103
2003,2.956849851
2004,4.402954518
2005,3.914924068
2006,4.379507409
2007,4.319258123
2008,1.850561496
2009,-1.678924932
2010,4.298922592
2011,3.132980919
2012,2.507634092
2013,2.65436272
2014,2.833185684
2015,2.80594404
2016,2.481500646
2017,3.108815417
